"date","max_temperature_f","mean_temperature_f","min_temperature_f","max_visibility_miles","mean_visibility_miles","min_visibility_miles","max_wind_Speed_mph","mean_wind_speed_mph","max_gust_speed_mph","precipitation_inches","cloud_cover","events","zip_code","city"
"3/10/2014",68,62,56,10,10,9,20,8,22,"T",5,"Rain",94107,"San Francisco"
"3/11/2014",74,61,47,10,10,10,30,11,37,"0",1,"",94107,"San Francisco"
"3/12/2014",78,66,53,10,10,10,32,16,40,"0",0,"",94107,"San Francisco"
"3/13/2014",73,58,46,10,10,10,17,6,,"0",1,"",94107,"San Francisco"
"3/14/2014",67,60,53,10,10,10,13,7,21,"0",4,"",94107,"San Francisco"
"3/15/2014",77,62,47,10,10,10,14,6,16,"0",0,"Fog",94107,"San Francisco"
"3/16/2014",72,60,48,10,10,10,21,8,23,"0",3,"Fog",94107,"San Francisco"
"3/17/2014",69,59,49,10,10,10,22,11,29,"T",3,"",94107,"San Francisco"
"3/18/2014",70,57,43,10,10,10,17,5,22,"0",1,"",94107,"San Francisco"
"3/19/2014",73,59,45,10,10,10,14,6,26,"0",2,"",94107,"San Francisco"
"3/20/2014",70,60,50,10,10,10,18,8,,"0",5,"",94107,"San Francisco"
"3/21/2014",63,56,48,10,10,9,20,8,37,"0",3,"",94107,"San Francisco"
"3/22/2014",65,58,51,10,10,10,16,8,23,"0",3,"",94107,"San Francisco"
"3/23/2014",65,57,48,10,10,10,15,7,20,"0",3,"",94107,"San Francisco"
"3/24/2014",72,59,46,10,10,6,18,6,29,"0",1,"",94107,"San Francisco"
"3/25/2014",63,54,45,10,9,2,18,8,29,"0.15",5,"Rain",94107,"San Francisco"
"3/26/2014",62,58,53,10,8,1,23,12,35,"0.63",7,"Rain",94107,"San Francisco"
"3/27/2014",65,61,56,10,10,7,17,9,25,"T",6,"",94107,"San Francisco"
"3/28/2014",69,63,56,10,10,7,17,9,30,"0.01",6,"Rain",94107,"San Francisco"
"3/29/2014",60,57,53,10,8,1,24,12,29,"0.87",8,"Rain",94107,"San Francisco"
"3/30/2014",61,56,50,10,10,10,17,10,21,"0",4,"",94107,"San Francisco"
"3/31/2014",57,53,48,10,8,1,31,13,36,"0.57",6,"Rain",94107,"San Francisco"
"4/1/2014",58,52,46,10,9,2,30,13,36,"0.69",7,"Rain",94107,"San Francisco"
"4/2/2014",61,53,45,10,10,10,21,8,28,"T",4,"Rain",94107,"San Francisco"
"4/3/2014",62,54,46,10,10,10,16,8,20,"0",5,"",94107,"San Francisco"
"4/4/2014",61,56,50,10,9,4,22,8,28,"0.32",6,"Rain",94107,"San Francisco"
"4/5/2014",65,56,46,10,10,10,17,7,21,"0",2,"",94107,"San Francisco"
"4/6/2014",72,61,49,10,10,10,16,5,29,"0",2,"",94107,"San Francisco"
"4/7/2014",79,65,51,10,10,10,15,6,20,"0",0,"",94107,"San Francisco"
"4/8/2014",78,67,56,10,10,10,16,6,20,"0",3,"",94107,"San Francisco"
"4/9/2014",66,59,52,10,10,10,17,8,49,"0",4,"",94107,"San Francisco"
"4/10/2014",74,63,51,10,10,8,18,7,26,"0",5,"",94107,"San Francisco"
"4/11/2014",63,58,53,10,10,10,24,9,28,"0",7,"",94107,"San Francisco"
"4/12/2014",64,59,54,10,10,10,21,11,28,"0",5,"",94107,"San Francisco"
"4/13/2014",69,61,53,10,10,8,22,9,25,"0",4,"",94107,"San Francisco"
"4/14/2014",68,59,50,10,9,6,21,8,23,"0",5,"",94107,"San Francisco"
"4/15/2014",66,59,52,10,10,7,18,8,30,"0",4,"",94107,"San Francisco"
"4/16/2014",73,62,50,10,9,7,18,8,24,"0",2,"",94107,"San Francisco"
"4/17/2014",64,58,51,10,10,7,17,7,29,"0",2,"",94107,"San Francisco"
"4/18/2014",64,58,51,10,10,10,18,8,31,"0",3,"",94107,"San Francisco"
"4/19/2014",65,59,52,10,10,10,25,12,38,"0",5,"",94107,"San Francisco"
"4/20/2014",76,63,50,10,10,10,21,6,36,"0",3,"",94107,"San Francisco"
"4/21/2014",67,59,50,10,10,8,24,9,41,"0",5,"",94107,"San Francisco"
"4/22/2014",65,59,52,10,10,4,31,19,36,"T",5,"Rain",94107,"San Francisco"
"4/23/2014",67,56,45,10,10,10,24,9,33,"0",3,"",94107,"San Francisco"
"4/24/2014",66,59,51,10,10,6,21,9,36,"0.02",5,"Rain",94107,"San Francisco"
"4/25/2014",58,55,52,10,8,2,28,12,35,"0.57",8,"Rain",94107,"San Francisco"
"4/26/2014",63,53,44,10,10,10,25,10,30,"0",4,"",94107,"San Francisco"
"4/27/2014",64,58,52,10,10,7,24,13,30,"T",5,"Rain",94107,"San Francisco"
"4/28/2014",71,59,47,10,10,8,20,7,28,"0",1,"",94107,"San Francisco"
"4/29/2014",83,67,50,10,10,10,13,4,17,"0",2,"",94107,"San Francisco"
"4/30/2014",89,73,57,10,10,10,13,5,20,"0",2,"",94107,"San Francisco"
"5/1/2014",85,71,57,10,10,10,20,6,23,"0",2,"",94107,"San Francisco"
"5/2/2014",72,63,53,10,10,10,21,8,28,"0",5,"Fog",94107,"San Francisco"
"5/3/2014",67,61,54,10,10,10,29,16,,"0",6,"",94107,"San Francisco"
"5/4/2014",68,63,57,10,10,10,22,15,25,"0",5,"",94107,"San Francisco"
"5/5/2014",67,61,55,10,10,10,30,17,36,"0",4,"",94107,"San Francisco"
"5/6/2014",69,61,52,10,10,10,25,11,32,"0",1,"",94107,"San Francisco"
"5/7/2014",64,58,51,10,10,10,23,12,93,"0",4,"",94107,"San Francisco"
"5/8/2014",65,60,54,10,10,6,18,10,23,"T",7,"Rain",94107,"San Francisco"
"5/9/2014",69,62,55,10,10,7,29,16,35,"T",5,"",94107,"San Francisco"
"5/10/2014",70,61,51,10,10,10,26,12,30,"0",2,"",94107,"San Francisco"
"5/11/2014",77,65,53,10,10,10,25,10,32,"0",1,"",94107,"San Francisco"
"5/12/2014",82,66,50,10,10,10,15,6,31,"0",2,"",94107,"San Francisco"
"5/13/2014",91,74,56,10,10,10,15,5,21,"0",1,"",94107,"San Francisco"
"5/14/2014",90,75,59,10,10,10,15,6,17,"0",2,"",94107,"San Francisco"
"5/15/2014",83,70,57,10,10,10,20,6,21,"0",3,"",94107,"San Francisco"
"5/16/2014",70,63,55,10,10,10,22,12,25,"0",5,"",94107,"San Francisco"
"5/17/2014",67,61,55,10,10,10,22,13,29,"0",6,"",94107,"San Francisco"
"5/18/2014",70,63,56,10,10,10,29,16,33,"0",3,"",94107,"San Francisco"
"5/19/2014",68,62,56,10,10,10,28,16,32,"0",5,"",94107,"San Francisco"
"5/20/2014",70,63,55,10,10,10,22,11,25,"0",5,"",94107,"San Francisco"
"5/21/2014",70,63,55,10,10,9,22,11,24,"0",5,"",94107,"San Francisco"
"5/22/2014",69,62,54,10,10,10,18,11,22,"0",6,"",94107,"San Francisco"
"5/23/2014",68,61,54,10,10,10,22,10,28,"0",6,"",94107,"San Francisco"
"5/24/2014",67,61,55,10,10,10,20,10,26,"0",3,"",94107,"San Francisco"
"5/25/2014",73,65,56,10,10,10,17,8,20,"0",1,"",94107,"San Francisco"
"5/26/2014",73,62,51,10,10,9,20,8,23,"T",0,"",94107,"San Francisco"
"5/27/2014",68,61,54,10,10,10,18,8,24,"0",1,"",94107,"San Francisco"
"5/28/2014",74,62,49,10,10,10,22,9,26,"0",0,"",94107,"San Francisco"
"5/29/2014",77,64,51,10,10,10,20,8,23,"0",1,"",94107,"San Francisco"
"5/30/2014",64,59,53,10,10,9,20,12,24,"0",6,"",94107,"San Francisco"
"5/31/2014",69,61,53,10,10,10,18,10,22,"T",4,"",94107,"San Francisco"
"6/1/2014",72,62,51,10,9,5,17,9,32,"0",3,"",94107,"San Francisco"
"6/2/2014",67,60,52,10,10,10,23,11,44,"0",6,"",94107,"San Francisco"
"6/3/2014",67,60,52,10,10,10,20,11,,"0",4,"",94107,"San Francisco"
"6/4/2014",70,61,52,10,10,6,20,8,21,"0",4,"",94107,"San Francisco"
"6/5/2014",67,60,52,10,9,6,21,11,25,"0",3,"",94107,"San Francisco"
"6/6/2014",68,61,53,10,10,8,21,10,24,"0",3,"",94107,"San Francisco"
"6/7/2014",70,63,56,10,9,7,18,8,23,"0",3,"",94107,"San Francisco"
"6/8/2014",86,70,53,10,9,7,18,7,23,"0",0,"",94107,"San Francisco"
"6/9/2014",78,68,58,10,9,7,22,10,25,"0",1,"",94107,"San Francisco"
"6/10/2014",68,63,57,10,10,9,23,10,28,"0",4,"",94107,"San Francisco"
"6/11/2014",70,64,58,10,10,10,23,12,31,"0",5,"",94107,"San Francisco"
"6/12/2014",66,61,55,10,10,10,21,14,25,"0",5,"",94107,"San Francisco"
"6/13/2014",72,64,55,10,10,10,17,8,23,"0",2,"",94107,"San Francisco"
"6/14/2014",80,67,53,10,10,10,23,9,25,"0",2,"",94107,"San Francisco"
"6/15/2014",68,61,54,10,10,8,24,13,26,"0",5,"",94107,"San Francisco"
"6/16/2014",65,61,56,10,10,10,22,14,26,"0",5,"",94107,"San Francisco"
"6/17/2014",73,62,50,10,10,10,21,7,23,"0",1,"",94107,"San Francisco"
"6/18/2014",82,68,53,10,10,10,21,7,23,"0",0,"",94107,"San Francisco"
"6/19/2014",70,61,52,10,10,9,22,9,32,"0",2,"",94107,"San Francisco"
"6/20/2014",74,64,54,10,10,10,22,10,24,"0",4,"",94107,"San Francisco"
"6/21/2014",65,59,53,10,10,10,20,8,23,"0",5,"",94107,"San Francisco"
"6/22/2014",66,60,54,10,10,10,25,12,30,"0",4,"",94107,"San Francisco"
"6/23/2014",70,63,55,10,10,10,20,9,29,"0",5,"",94107,"San Francisco"
"6/24/2014",70,62,54,10,10,10,21,10,26,"0",3,"",94107,"San Francisco"
"6/25/2014",68,63,57,10,10,8,21,13,33,"T",7,"",94107,"San Francisco"
"6/26/2014",70,65,59,10,10,7,18,12,32,"T",5,"Rain",94107,"San Francisco"
"6/27/2014",71,64,57,10,10,10,21,9,29,"0",5,"",94107,"San Francisco"
"6/28/2014",72,65,57,10,10,10,20,9,25,"0",3,"",94107,"San Francisco"
"6/29/2014",80,67,54,10,10,10,18,8,22,"0",0,"",94107,"San Francisco"
"6/30/2014",82,70,57,10,10,8,20,9,35,"0",3,"",94107,"San Francisco"
"7/1/2014",72,64,56,10,10,10,21,10,29,"0",5,"",94107,"San Francisco"
"7/2/2014",70,64,57,10,10,10,21,11,23,"0",6,"",94107,"San Francisco"
"7/3/2014",69,62,54,10,10,10,18,10,25,"0",3,"",94107,"San Francisco"
"7/4/2014",67,61,54,10,10,9,21,9,24,"0",4,"",94107,"San Francisco"
"7/5/2014",72,63,53,10,10,10,18,7,32,"0",3,"",94107,"San Francisco"
"7/6/2014",70,62,53,10,10,10,21,10,25,"0",3,"",94107,"San Francisco"
"7/7/2014",70,62,54,10,10,10,23,9,35,"0",7,"",94107,"San Francisco"
"7/8/2014",68,63,57,10,10,10,18,9,28,"0",5,"",94107,"San Francisco"
"7/9/2014",71,64,57,10,10,10,20,8,23,"0",4,"",94107,"San Francisco"
"7/10/2014",73,67,60,10,10,10,18,9,22,"0",4,"",94107,"San Francisco"
"7/11/2014",72,67,61,10,10,10,22,13,25,"0",5,"",94107,"San Francisco"
"7/12/2014",70,64,58,10,10,6,23,12,25,"T",5,"",94107,"San Francisco"
"7/13/2014",71,65,58,10,9,6,16,8,21,"T",6,"",94107,"San Francisco"
"7/14/2014",76,67,57,10,10,9,24,9,30,"0",3,"",94107,"San Francisco"
"7/15/2014",77,68,59,10,10,10,20,11,23,"0",6,"",94107,"San Francisco"
"7/16/2014",74,68,62,10,10,10,23,14,28,"0",6,"",94107,"San Francisco"
"7/17/2014",73,68,63,10,10,10,21,13,24,"0",4,"",94107,"San Francisco"
"7/18/2014",71,67,63,10,10,10,20,12,23,"0",6,"",94107,"San Francisco"
"7/19/2014",72,67,62,10,10,10,20,10,24,"0",6,"",94107,"San Francisco"
"7/20/2014",73,68,62,10,10,10,20,11,25,"0",6,"",94107,"San Francisco"
"7/21/2014",74,69,63,10,10,10,20,11,22,"0",5,"",94107,"San Francisco"
"7/22/2014",76,70,63,10,10,10,21,10,30,"0.01",5,"Rain",94107,"San Francisco"
"7/23/2014",76,70,63,10,10,10,20,9,23,"0",4,"",94107,"San Francisco"
"7/24/2014",83,73,62,10,10,10,17,7,20,"0",2,"",94107,"San Francisco"
"7/25/2014",90,75,60,10,10,8,18,8,22,"0",0,"",94107,"San Francisco"
"7/26/2014",77,69,61,10,10,9,21,11,23,"0",2,"",94107,"San Francisco"
"7/27/2014",78,70,61,10,10,9,23,11,25,"0",4,"",94107,"San Francisco"
"7/28/2014",72,67,61,10,10,10,21,10,24,"0",6,"",94107,"San Francisco"
"7/29/2014",76,68,60,10,10,10,20,11,22,"0",2,"",94107,"San Francisco"
"7/30/2014",73,66,59,10,10,10,21,11,24,"0",4,"",94107,"San Francisco"
"7/31/2014",71,65,59,10,10,9,17,9,22,"0",5,"",94107,"San Francisco"
"8/1/2014",72,65,58,10,9,7,18,9,22,"0",3,"",94107,"San Francisco"
"8/2/2014",68,64,60,10,10,9,18,10,23,"0",6,"",94107,"San Francisco"
"8/3/2014",69,65,61,10,10,10,18,11,29,"0",7,"",94107,"San Francisco"
"8/4/2014",73,67,61,10,10,10,17,10,21,"0",7,"",94107,"San Francisco"
"8/5/2014",74,68,62,10,10,10,20,7,26,"T",7,"",94107,"San Francisco"
"8/6/2014",78,69,60,10,10,10,20,8,36,"T",6,"Rain",94107,"San Francisco"
"8/7/2014",69,65,60,10,10,8,18,7,29,"0",5,"",94107,"San Francisco"
"8/8/2014",73,66,58,10,9,7,20,11,28,"0",3,"",94107,"San Francisco"
"8/9/2014",67,63,59,10,10,9,21,12,31,"T",6,"",94107,"San Francisco"
"8/10/2014",73,67,60,10,10,10,22,9,36,"T",6,"",94107,"San Francisco"
"8/11/2014",73,67,61,10,10,10,18,9,22,"0",4,"",94107,"San Francisco"
"8/12/2014",74,68,61,10,10,10,20,10,31,"0",6,"",94107,"San Francisco"
"8/13/2014",75,68,60,10,10,10,21,9,24,"0",5,"",94107,"San Francisco"
"8/14/2014",73,66,59,10,10,10,20,9,26,"0",5,"",94107,"San Francisco"
"8/15/2014",74,66,58,10,10,8,18,9,39,"0",4,"",94107,"San Francisco"
"8/16/2014",73,67,60,10,10,10,20,9,23,"0",4,"",94107,"San Francisco"
"8/17/2014",72,65,58,10,10,10,21,10,24,"0",5,"",94107,"San Francisco"
"8/18/2014",68,64,60,10,10,9,22,11,28,"T",7,"",94107,"San Francisco"
"8/19/2014",74,67,60,10,10,9,21,10,23,"T",5,"Rain",94107,"San Francisco"
"8/20/2014",73,68,62,10,10,10,18,10,28,"0",5,"",94107,"San Francisco"
"8/21/2014",75,68,61,10,10,10,20,8,23,"0",4,"",94107,"San Francisco"
"8/22/2014",75,69,62,10,10,10,21,8,28,"0",5,"",94107,"San Francisco"
"8/23/2014",75,68,60,10,10,10,16,9,20,"0",3,"",94107,"San Francisco"
"8/24/2014",74,67,59,10,10,10,21,11,23,"0",4,"",94107,"San Francisco"
"8/25/2014",72,68,63,10,10,10,18,11,24,"0",5,"",94107,"San Francisco"
"8/26/2014",75,69,62,10,10,10,18,9,23,"0",2,"",94107,"San Francisco"
"8/27/2014",77,68,59,10,10,8,21,9,22,"0",1,"",94107,"San Francisco"
"8/28/2014",75,68,60,10,10,10,20,9,22,"0",4,"",94107,"San Francisco"
"8/29/2014",72,67,61,10,10,10,21,7,24,"T",7,"",94107,"San Francisco"
"8/30/2014",77,68,59,10,10,10,18,8,21,"0",3,"Fog",94107,"San Francisco"
"8/31/2014",76,69,61,10,10,10,17,8,28,"0",3,"",94107,"San Francisco"
"3/1/2014",64,58,53,10,10,5,17,9,25,"0.01",7,"Rain",94063,"Redwood City"
"3/2/2014",60,55,50,10,10,2,12,2,17,"0",5,"Rain",94063,"Redwood City"
"3/3/2014",59,54,48,10,10,9,20,2,31,"0",6,"Rain",94063,"Redwood City"
"3/4/2014",64,60,55,10,10,10,13,4,,"0",6,"",94063,"Redwood City"
"3/5/2014",71,63,55,10,9,2,17,3,22,"0.02",7,"Rain",94063,"Redwood City"
"3/6/2014",64,58,53,10,9,3,12,5,,"0",6,"Rain",94063,"Redwood City"
"3/7/2014",66,58,50,10,10,10,9,3,,"0",1,"",94063,"Redwood City"
"3/8/2014",71,60,48,10,10,10,8,2,,"0",2,"",94063,"Redwood City"
"3/9/2014",71,64,57,10,10,10,8,2,,"0",3,"",94063,"Redwood City"
"3/10/2014",66,60,55,10,10,10,14,5,18,"0",4,"",94063,"Redwood City"
"3/11/2014",68,59,50,10,10,10,15,6,20,"0",0,"",94063,"Redwood City"
"3/12/2014",71,63,55,10,10,8,18,9,20,"0",0,"",94063,"Redwood City"
"3/13/2014",77,64,50,10,10,5,10,2,,"0",0,"",94063,"Redwood City"
"3/14/2014",69,58,48,10,10,7,10,3,,"0",1,"",94063,"Redwood City"
"3/15/2014",77,62,48,10,10,10,9,2,,"0",0,"",94063,"Redwood City"
"3/16/2014",75,62,50,10,10,10,12,2,17,"0",1,"",94063,"Redwood City"
"3/17/2014",66,60,53,10,10,10,22,10,29,"0",2,"",94063,"Redwood City"
"3/18/2014",68,57,46,10,10,10,12,1,,"0",1,"",94063,"Redwood City"
"3/19/2014",71,58,46,10,10,10,8,2,,"0",1,"",94063,"Redwood City"
"3/20/2014",69,61,53,10,10,10,13,2,,"0",2,"",94063,"Redwood City"
"3/21/2014",64,55,46,10,10,8,13,3,18,"0",1,"",94063,"Redwood City"
"3/22/2014",66,56,46,10,10,6,12,3,,"0",4,"",94063,"Redwood City"
"3/23/2014",66,57,48,10,10,7,12,2,,"0",3,"",94063,"Redwood City"
"3/24/2014",75,62,48,10,10,6,10,3,,"0",0,"",94063,"Redwood City"
"3/25/2014",62,53,44,10,10,4,12,5,17,"0",3,"Rain",94063,"Redwood City"
"3/26/2014",60,55,50,10,9,2,16,6,20,"0",5,"Rain",94063,"Redwood City"
"3/27/2014",62,58,53,10,10,5,13,3,16,"0.03",7,"Rain",94063,"Redwood City"
"3/28/2014",68,60,53,10,10,10,14,4,17,"0",4,"",94063,"Redwood City"
"3/29/2014",59,55,51,10,8,2,15,7,,"0",6,"Rain",94063,"Redwood City"
"3/30/2014",59,54,48,10,10,10,12,6,,"0",2,"",94063,"Redwood City"
"3/31/2014",55,50,44,10,9,1,20,4,24,"0",4,"Rain",94063,"Redwood City"
"4/1/2014",57,50,44,10,10,4,15,7,21,"0",5,"Rain",94063,"Redwood City"
"4/2/2014",59,52,44,10,10,3,10,4,,"0.02",4,"Rain",94063,"Redwood City"
"4/3/2014",62,53,44,10,10,10,13,3,17,"0",3,"",94063,"Redwood City"
"4/4/2014",57,54,50,10,9,2,13,7,21,"0.04",6,"Rain",94063,"Redwood City"
"4/5/2014",64,56,48,10,10,10,17,5,22,"0",2,"",94063,"Redwood City"
"4/6/2014",77,62,48,10,10,10,10,1,,"0",0,"",94063,"Redwood City"
"4/7/2014",80,66,53,10,10,2,13,1,,"0",0,"",94063,"Redwood City"
"4/8/2014",82,70,57,10,10,10,13,3,,"0",1,"",94063,"Redwood City"
"4/9/2014",68,60,51,10,10,7,10,4,,"0",2,"",94063,"Redwood City"
"4/10/2014",73,62,50,10,9,5,8,2,,"0",3,"",94063,"Redwood City"
"4/11/2014",66,60,53,10,10,8,12,4,,"0",4,"",94063,"Redwood City"
"4/12/2014",66,58,50,10,10,10,16,4,20,"0",4,"",94063,"Redwood City"
"4/13/2014",69,61,53,10,10,10,13,4,,"0",4,"",94063,"Redwood City"
"4/14/2014",69,60,51,10,10,7,12,4,,"0",3,"",94063,"Redwood City"
"4/15/2014",69,60,51,10,10,7,14,5,17,"0",2,"",94063,"Redwood City"
"4/16/2014",77,64,50,10,9,5,14,3,,"0",2,"",94063,"Redwood City"
"4/17/2014",66,60,53,10,10,8,22,5,28,"0",1,"",94063,"Redwood City"
"4/18/2014",66,58,50,10,10,10,16,7,,"0",1,"",94063,"Redwood City"
"4/19/2014",66,58,50,10,10,10,20,5,17,"0",2,"",94063,"Redwood City"
"4/20/2014",80,66,51,10,10,10,13,3,,"0",0,"",94063,"Redwood City"
"4/21/2014",66,58,50,10,10,7,18,4,24,"0",4,"",94063,"Redwood City"
"4/22/2014",60,55,50,10,10,3,22,11,28,"0",4,"Rain",94063,"Redwood City"
"4/23/2014",64,57,50,10,10,10,16,9,20,"0",1,"",94063,"Redwood City"
"4/24/2014",66,60,53,10,10,4,16,6,20,"0",4,"Rain",94063,"Redwood City"
"4/25/2014",57,54,50,10,9,2,16,7,23,"0",8,"Rain",94063,"Redwood City"
"4/26/2014",59,54,48,10,10,10,20,11,28,"0",3,"",94063,"Redwood City"
"4/27/2014",62,58,53,10,10,10,17,5,22,"0",5,"",94063,"Redwood City"
"4/28/2014",71,60,50,10,10,10,16,5,23,"0",0,"",94063,"Redwood City"
"4/29/2014",86,70,53,10,10,9,10,1,,"0",1,"",94063,"Redwood City"
"4/30/2014",89,74,59,10,10,10,10,2,,"0",2,"",94063,"Redwood City"
"5/1/2014",86,72,59,10,10,10,122,4,,"0",1,"",94063,"Redwood City"
"5/2/2014",77,67,57,10,10,10,13,2,,"0",2,"",94063,"Redwood City"
"5/3/2014",66,60,53,10,10,10,21,7,24,"0",2,"",94063,"Redwood City"
"5/4/2014",66,60,55,10,10,10,16,7,18,"0",3,"",94063,"Redwood City"
"5/5/2014",64,60,53,10,10,10,23,11,32,"0",2,"",94063,"Redwood City"
"5/6/2014",66,58,51,10,10,9,23,13,32,"0",1,"",94063,"Redwood City"
"5/7/2014",62,56,50,10,10,9,21,8,26,"0",5,"",94063,"Redwood City"
"5/8/2014",66,60,53,10,10,8,12,6,,"0",6,"",94063,"Redwood City"
"5/9/2014",66,60,55,10,10,8,20,8,26,"0",5,"",94063,"Redwood City"
"5/10/2014",64,58,53,10,10,10,26,10,34,"0",0,"",94063,"Redwood City"
"5/11/2014",75,64,53,10,10,10,18,7,25,"0",0,"",94063,"Redwood City"
"5/12/2014",86,68,51,10,10,10,12,1,,"0",1,"",94063,"Redwood City"
"5/13/2014",91,75,59,10,10,10,13,2,16,"0",0,"",94063,"Redwood City"
"5/14/2014",91,76,62,10,10,10,14,4,,"0",1,"",94063,"Redwood City"
"5/15/2014",87,74,62,10,10,10,15,2,21,"0",1,"",94063,"Redwood City"
"5/16/2014",80,68,55,10,10,10,15,5,20,"0",1,"",94063,"Redwood City"
"5/17/2014",66,60,55,10,10,10,17,8,23,"0",3,"",94063,"Redwood City"
"5/18/2014",68,62,57,10,10,10,23,12,31,"0",2,"",94063,"Redwood City"
"5/19/2014",64,60,55,10,10,3,20,13,25,"0",3,"Rain",94063,"Redwood City"
"5/20/2014",68,60,53,10,10,10,16,7,24,"0",5,"",94063,"Redwood City"
"5/21/2014",73,64,55,10,10,10,21,7,23,"0",3,"",94063,"Redwood City"
"5/22/2014",71,63,55,10,10,10,13,6,,"0",4,"",94063,"Redwood City"
"5/23/2014",73,64,55,10,10,10,22,7,24,"0",5,"",94063,"Redwood City"
"5/24/2014",69,63,57,10,10,10,15,6,21,"0",1,"",94063,"Redwood City"
"5/25/2014",80,68,55,10,10,8,24,5,30,"0",0,"",94063,"Redwood City"
"5/26/2014",80,68,55,10,10,8,23,4,33,"0",0,"",94063,"Redwood City"
"5/27/2014",71,62,53,10,10,10,20,9,28,"0",0,"",94063,"Redwood City"
"5/28/2014",75,64,53,10,10,10,15,8,21,"0",0,"",94063,"Redwood City"
"5/29/2014",80,66,53,10,10,10,20,3,23,"0",0,"",94063,"Redwood City"
"5/30/2014",64,58,53,10,10,8,22,7,26,"0",2,"",94063,"Redwood City"
"5/31/2014",71,62,53,10,10,10,14,8,18,"0",4,"",94063,"Redwood City"
"6/1/2014",75,64,53,10,10,9,14,4,,"0",2,"",94063,"Redwood City"
"6/2/2014",68,60,53,10,10,10,17,5,24,"0",4,"",94063,"Redwood City"
"6/3/2014",68,60,51,10,10,10,12,5,,"0",3,"",94063,"Redwood City"
"6/4/2014",78,66,53,10,9,6,13,3,,"0",3,"",94063,"Redwood City"
"6/5/2014",75,64,53,10,10,7,13,4,,"0",2,"",94063,"Redwood City"
"6/6/2014",71,63,55,10,9,2,12,5,16,"0",4,"",94063,"Redwood City"
"6/7/2014",73,64,55,10,10,7,13,4,,"0",4,"",94063,"Redwood City"
"6/8/2014",95,76,57,10,8,5,15,2,,"0",1,"",94063,"Redwood City"
"6/9/2014",86,74,62,10,10,8,14,3,,"0",0,"",94063,"Redwood City"
"6/10/2014",77,67,57,10,10,8,13,5,16,"0",2,"",94063,"Redwood City"
"6/11/2014",73,65,57,10,10,10,16,5,21,"0",1,"",94063,"Redwood City"
"6/12/2014",66,60,53,10,10,10,21,9,26,"0",2,"",94063,"Redwood City"
"6/13/2014",77,66,55,10,10,10,17,5,22,"0",0,"",94063,"Redwood City"
"6/14/2014",80,68,55,10,10,10,13,5,21,"0",1,"",94063,"Redwood City"
"6/15/2014",68,62,55,10,9,6,22,9,29,"0",4,"",94063,"Redwood City"
"6/16/2014",62,58,55,10,10,8,20,12,26,"0",4,"",94063,"Redwood City"
"6/17/2014",75,62,50,10,10,9,15,3,20,"0",0,"",94063,"Redwood City"
"6/18/2014",86,70,55,10,10,10,15,2,22,"0",0,"",94063,"Redwood City"
"6/19/2014",73,64,55,10,10,10,18,5,,"0",1,"",94063,"Redwood City"
"6/20/2014",82,68,55,10,10,10,16,5,22,"0",1,"",94063,"Redwood City"
"6/21/2014",68,62,55,10,10,9,14,5,18,"0",2,"",94063,"Redwood City"
"6/22/2014",68,60,53,10,10,9,21,6,26,"0",2,"",94063,"Redwood City"
"6/23/2014",75,64,53,10,10,10,16,6,22,"0",1,"",94063,"Redwood City"
"6/24/2014",73,65,57,10,10,10,24,4,32,"0",0,"",94063,"Redwood City"
"6/25/2014",66,62,57,10,10,10,14,6,23,"0",3,"",94063,"Redwood City"
"6/26/2014",73,66,59,10,10,10,14,7,18,"0",5,"",94063,"Redwood City"
"6/27/2014",77,67,57,10,10,10,15,6,17,"0",1,"",94063,"Redwood City"
"6/28/2014",75,67,59,10,10,10,16,8,21,"0",2,"",94063,"Redwood City"
"6/29/2014",86,72,57,10,10,10,14,5,,"0",0,"",94063,"Redwood City"
"6/30/2014",89,76,62,10,10,9,14,3,,"0",1,"",94063,"Redwood City"
"7/1/2014",75,67,59,10,10,9,12,5,,"0",3,"",94063,"Redwood City"
"7/2/2014",73,65,57,10,10,10,20,6,25,"0",4,"",94063,"Redwood City"
"7/3/2014",77,67,57,10,10,10,20,6,24,"0",0,"",94063,"Redwood City"
"7/4/2014",78,66,55,10,10,5,14,4,18,"0",2,"",94063,"Redwood City"
"7/5/2014",82,68,55,10,10,8,14,4,,"0",3,"",94063,"Redwood City"
"7/6/2014",75,64,53,10,10,10,10,4,,"0",1,"",94063,"Redwood City"
"7/7/2014",80,68,57,10,10,10,15,4,,"0",2,"",94063,"Redwood City"
"7/8/2014",73,66,59,10,10,10,13,4,16,"0",2,"",94063,"Redwood City"
"7/9/2014",75,67,59,10,10,10,13,4,,"0",4,"",94063,"Redwood City"
"7/10/2014",75,68,60,10,10,10,16,6,22,"0",3,"",94063,"Redwood City"
"7/11/2014",73,66,59,10,10,10,16,6,24,"0",2,"",94063,"Redwood City"
"7/12/2014",73,66,57,10,10,10,16,8,21,"0",4,"",94063,"Redwood City"
"7/13/2014",77,67,57,10,10,10,12,7,,"0",5,"",94063,"Redwood City"
"7/14/2014",80,70,60,10,10,10,9,3,,"0",1,"",94063,"Redwood City"
"7/15/2014",80,70,59,10,10,9,12,4,,"0",2,"",94063,"Redwood City"
"7/16/2014",77,70,64,10,10,10,16,5,21,"0",3,"Rain",94063,"Redwood City"
